,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,KIMHAE
318,2019-10-07 16:00:00,2019,10,7,2,16,2,9
320,2019-10-07 17:00:00,2019,10,7,2,17,2,9
322,2019-10-07 18:00:00,2019,10,7,2,18,3,10
324,2019-10-07 19:00:00,2019,10,7,2,19,3,13
326,2019-10-07 20:00:00,2019,10,7,2,20,3,15
328,2019-10-07 21:00:00,2019,10,7,2,21,3,15
330,2019-10-07 22:00:00,2019,10,7,2,22,3,15
332,2019-10-07 23:00:00,2019,10,7,2,23,3,16
334,2019-10-08 00:00:00,2019,10,8,2,0,0,14
336,2019-10-08 01:00:00,2019,10,8,2,1,0,11
338,2019-10-08 02:00:00,2019,10,8,2,2,0,11
340,2019-10-08 03:00:00,2019,10,8,2,3,0,10
342,2019-10-08 04:00:00,2019,10,8,2,4,0,9
344,2019-10-08 05:00:00,2019,10,8,2,5,0,9
346,2019-10-08 06:00:00,2019,10,8,2,6,1,10
348,2019-10-08 07:00:00,2019,10,8,2,7,1,12
350,2019-10-08 08:00:00,2019,10,8,2,8,1,16
352,2019-10-08 09:00:00,2019,10,8,2,9,1,12
354,2019-10-08 10:00:00,2019,10,8,2,10,1,10
356,2019-10-08 11:00:00,2019,10,8,2,11,1,9
358,2019-10-08 12:00:00,2019,10,8,2,12,2,8
360,2019-10-08 13:00:00,2019,10,8,2,13,2,8
362,2019-10-08 14:00:00,2019,10,8,2,14,2,8
364,2019-10-08 15:00:00,2019,10,8,2,15,2,7
366,2019-10-08 16:00:00,2019,10,8,2,16,2,7
368,2019-10-08 17:00:00,2019,10,8,2,17,2,8
370,2019-10-08 18:00:00,2019,10,8,2,18,3,8
372,2019-10-08 19:00:00,2019,10,8,2,19,3,10
374,2019-10-08 20:00:00,2019,10,8,2,20,3,12
376,2019-10-08 21:00:00,2019,10,8,2,21,3,13
378,2019-10-08 22:00:00,2019,10,8,2,22,3,15
380,2019-10-08 23:00:00,2019,10,8,2,23,3,15
382,2019-10-09 00:00:00,2019,10,9,2,0,0,15
384,2019-10-09 01:00:00,2019,10,9,2,1,0,14
386,2019-10-09 02:00:00,2019,10,9,2,2,0,12
388,2019-10-09 03:00:00,2019,10,9,2,3,0,13
390,2019-10-09 04:00:00,2019,10,9,2,4,0,12
392,2019-10-09 05:00:00,2019,10,9,2,5,0,13
394,2019-10-09 06:00:00,2019,10,9,2,6,1,13
396,2019-10-09 07:00:00,2019,10,9,2,7,1,13
398,2019-10-09 08:00:00,2019,10,9,2,8,1,13
400,2019-10-09 09:00:00,2019,10,9,2,9,1,11
402,2019-10-09 10:00:00,2019,10,9,2,10,1,11
404,2019-10-09 11:00:00,2019,10,9,2,11,1,12
406,2019-10-09 12:00:00,2019,10,9,2,12,2,10
408,2019-10-09 13:00:00,2019,10,9,2,13,2,10
410,2019-10-09 14:00:00,2019,10,9,2,14,2,9
412,2019-10-09 15:00:00,2019,10,9,2,15,2,9
414,2019-10-09 16:00:00,2019,10,9,2,16,2,8
416,2019-10-09 17:00:00,2019,10,9,2,17,2,10
418,2019-10-09 18:00:00,2019,10,9,2,18,3,10
420,2019-10-09 19:00:00,2019,10,9,2,19,3,13
422,2019-10-09 20:00:00,2019,10,9,2,20,3,15
424,2019-10-09 21:00:00,2019,10,9,2,21,3,17
426,2019-10-09 22:00:00,2019,10,9,2,22,3,19
428,2019-10-09 23:00:00,2019,10,9,2,23,3,16
430,2019-10-10 00:00:00,2019,10,10,2,0,0,18
432,2019-10-10 01:00:00,2019,10,10,2,1,0,14
434,2019-10-10 02:00:00,2019,10,10,2,2,0,13
436,2019-10-10 03:00:00,2019,10,10,2,3,0,12
438,2019-10-10 04:00:00,2019,10,10,2,4,0,12
440,2019-10-10 05:00:00,2019,10,10,2,5,0,13
442,2019-10-10 06:00:00,2019,10,10,2,6,1,14
444,2019-10-10 07:00:00,2019,10,10,2,7,1,15
446,2019-10-10 08:00:00,2019,10,10,2,8,1,18
448,2019-10-10 09:00:00,2019,10,10,2,9,1,12
450,2019-10-10 10:00:00,2019,10,10,2,10,1,11
452,2019-10-10 11:00:00,2019,10,10,2,11,1,9
454,2019-10-10 12:00:00,2019,10,10,2,12,2,8
456,2019-10-10 13:00:00,2019,10,10,2,13,2,8
458,2019-10-10 14:00:00,2019,10,10,2,14,2,8
460,2019-10-10 15:00:00,2019,10,10,2,15,2,6
462,2019-10-10 16:00:00,2019,10,10,2,16,2,7
464,2019-10-10 17:00:00,2019,10,10,2,17,2,8
466,2019-10-10 18:00:00,2019,10,10,2,18,3,9
468,2019-10-10 19:00:00,2019,10,10,2,19,3,13
470,2019-10-10 20:00:00,2019,10,10,2,20,3,14
472,2019-10-10 21:00:00,2019,10,10,2,21,3,16
474,2019-10-10 22:00:00,2019,10,10,2,22,3,17
476,2019-10-10 23:00:00,2019,10,10,2,23,3,18
