,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,CHEONGJU
296,2019-10-07 05:00:00,2019,10,7,2,5,0,20
298,2019-10-07 06:00:00,2019,10,7,2,6,1,20
300,2019-10-07 07:00:00,2019,10,7,2,7,1,30
302,2019-10-07 08:00:00,2019,10,7,2,8,1,45
304,2019-10-07 09:00:00,2019,10,7,2,9,1,26
306,2019-10-07 10:00:00,2019,10,7,2,10,1,23
308,2019-10-07 11:00:00,2019,10,7,2,11,1,20
310,2019-10-07 12:00:00,2019,10,7,2,12,2,16
312,2019-10-07 13:00:00,2019,10,7,2,13,2,18
314,2019-10-07 14:00:00,2019,10,7,2,14,2,18
316,2019-10-07 15:00:00,2019,10,7,2,15,2,16
318,2019-10-07 16:00:00,2019,10,7,2,16,2,17
320,2019-10-07 17:00:00,2019,10,7,2,17,2,19
322,2019-10-07 18:00:00,2019,10,7,2,18,3,23
324,2019-10-07 19:00:00,2019,10,7,2,19,3,36
326,2019-10-07 20:00:00,2019,10,7,2,20,3,43
328,2019-10-07 21:00:00,2019,10,7,2,21,3,50
330,2019-10-07 22:00:00,2019,10,7,2,22,3,50
332,2019-10-07 23:00:00,2019,10,7,2,23,3,41
334,2019-10-08 00:00:00,2019,10,8,2,0,0,32
336,2019-10-08 01:00:00,2019,10,8,2,1,0,31
338,2019-10-08 02:00:00,2019,10,8,2,2,0,23
340,2019-10-08 03:00:00,2019,10,8,2,3,0,22
342,2019-10-08 04:00:00,2019,10,8,2,4,0,15
344,2019-10-08 05:00:00,2019,10,8,2,5,0,18
346,2019-10-08 06:00:00,2019,10,8,2,6,1,25
348,2019-10-08 07:00:00,2019,10,8,2,7,1,33
350,2019-10-08 08:00:00,2019,10,8,2,8,1,45
352,2019-10-08 09:00:00,2019,10,8,2,9,1,30
354,2019-10-08 10:00:00,2019,10,8,2,10,1,26
356,2019-10-08 11:00:00,2019,10,8,2,11,1,20
358,2019-10-08 12:00:00,2019,10,8,2,12,2,22
360,2019-10-08 13:00:00,2019,10,8,2,13,2,21
362,2019-10-08 14:00:00,2019,10,8,2,14,2,26
364,2019-10-08 15:00:00,2019,10,8,2,15,2,17
366,2019-10-08 16:00:00,2019,10,8,2,16,2,18
368,2019-10-08 17:00:00,2019,10,8,2,17,2,23
370,2019-10-08 18:00:00,2019,10,8,2,18,3,25
372,2019-10-08 19:00:00,2019,10,8,2,19,3,35
374,2019-10-08 20:00:00,2019,10,8,2,20,3,43
376,2019-10-08 21:00:00,2019,10,8,2,21,3,48
378,2019-10-08 22:00:00,2019,10,8,2,22,3,51
380,2019-10-08 23:00:00,2019,10,8,2,23,3,47
382,2019-10-09 00:00:00,2019,10,9,2,0,0,45
384,2019-10-09 01:00:00,2019,10,9,2,1,0,35
386,2019-10-09 02:00:00,2019,10,9,2,2,0,39
388,2019-10-09 03:00:00,2019,10,9,2,3,0,34
390,2019-10-09 04:00:00,2019,10,9,2,4,0,31
392,2019-10-09 05:00:00,2019,10,9,2,5,0,32
394,2019-10-09 06:00:00,2019,10,9,2,6,1,36
396,2019-10-09 07:00:00,2019,10,9,2,7,1,33
398,2019-10-09 08:00:00,2019,10,9,2,8,1,35
400,2019-10-09 09:00:00,2019,10,9,2,9,1,26
402,2019-10-09 10:00:00,2019,10,9,2,10,1,32
404,2019-10-09 11:00:00,2019,10,9,2,11,1,35
406,2019-10-09 12:00:00,2019,10,9,2,12,2,25
408,2019-10-09 13:00:00,2019,10,9,2,13,2,24
410,2019-10-09 14:00:00,2019,10,9,2,14,2,20
412,2019-10-09 15:00:00,2019,10,9,2,15,2,19
414,2019-10-09 16:00:00,2019,10,9,2,16,2,16
416,2019-10-09 17:00:00,2019,10,9,2,17,2,17
418,2019-10-09 18:00:00,2019,10,9,2,18,3,34
420,2019-10-09 19:00:00,2019,10,9,2,19,3,42
422,2019-10-09 20:00:00,2019,10,9,2,20,3,46
424,2019-10-09 21:00:00,2019,10,9,2,21,3,54
426,2019-10-09 22:00:00,2019,10,9,2,22,3,57
428,2019-10-09 23:00:00,2019,10,9,2,23,3,45
430,2019-10-10 00:00:00,2019,10,10,2,0,0,43
432,2019-10-10 01:00:00,2019,10,10,2,1,0,32
434,2019-10-10 02:00:00,2019,10,10,2,2,0,30
436,2019-10-10 03:00:00,2019,10,10,2,3,0,31
438,2019-10-10 04:00:00,2019,10,10,2,4,0,28
440,2019-10-10 05:00:00,2019,10,10,2,5,0,30
442,2019-10-10 06:00:00,2019,10,10,2,6,1,27
444,2019-10-10 07:00:00,2019,10,10,2,7,1,37
446,2019-10-10 08:00:00,2019,10,10,2,8,1,46
448,2019-10-10 09:00:00,2019,10,10,2,9,1,36
450,2019-10-10 10:00:00,2019,10,10,2,10,1,24
452,2019-10-10 11:00:00,2019,10,10,2,11,1,25
454,2019-10-10 12:00:00,2019,10,10,2,12,2,21
456,2019-10-10 13:00:00,2019,10,10,2,13,2,19
458,2019-10-10 14:00:00,2019,10,10,2,14,2,18
460,2019-10-10 15:00:00,2019,10,10,2,15,2,21
462,2019-10-10 16:00:00,2019,10,10,2,16,2,18
464,2019-10-10 17:00:00,2019,10,10,2,17,2,19
466,2019-10-10 18:00:00,2019,10,10,2,18,3,26
468,2019-10-10 19:00:00,2019,10,10,2,19,3,40
470,2019-10-10 20:00:00,2019,10,10,2,20,3,50
472,2019-10-10 21:00:00,2019,10,10,2,21,3,57
474,2019-10-10 22:00:00,2019,10,10,2,22,3,51
476,2019-10-10 23:00:00,2019,10,10,2,23,3,35
478,2019-10-11 00:00:00,2019,10,11,2,0,0,47
480,2019-10-11 01:00:00,2019,10,11,2,1,0,35
482,2019-10-11 02:00:00,2019,10,11,2,2,0,33
484,2019-10-11 03:00:00,2019,10,11,2,3,0,30
486,2019-10-11 04:00:00,2019,10,11,2,4,0,29
488,2019-10-11 05:00:00,2019,10,11,2,5,0,25
490,2019-10-11 06:00:00,2019,10,11,2,6,1,29
492,2019-10-11 07:00:00,2019,10,11,2,7,1,37
494,2019-10-11 08:00:00,2019,10,11,2,8,1,48
496,2019-10-11 09:00:00,2019,10,11,2,9,1,30
498,2019-10-11 10:00:00,2019,10,11,2,10,1,26
500,2019-10-11 11:00:00,2019,10,11,2,11,1,19
502,2019-10-11 12:00:00,2019,10,11,2,12,2,17
504,2019-10-11 13:00:00,2019,10,11,2,13,2,18
506,2019-10-11 14:00:00,2019,10,11,2,14,2,19
508,2019-10-11 15:00:00,2019,10,11,2,15,2,12
510,2019-10-11 16:00:00,2019,10,11,2,16,2,15
512,2019-10-11 17:00:00,2019,10,11,2,17,2,18
514,2019-10-11 18:00:00,2019,10,11,2,18,3,22
516,2019-10-11 19:00:00,2019,10,11,2,19,3,35
518,2019-10-11 20:00:00,2019,10,11,2,20,3,39
520,2019-10-11 21:00:00,2019,10,11,2,21,3,50
522,2019-10-11 22:00:00,2019,10,11,2,22,3,49
524,2019-10-11 23:00:00,2019,10,11,2,23,3,44
526,2019-10-12 00:00:00,2019,10,12,2,0,0,45
528,2019-10-12 01:00:00,2019,10,12,2,1,0,33
530,2019-10-12 02:00:00,2019,10,12,2,2,0,33
532,2019-10-12 03:00:00,2019,10,12,2,3,0,28
534,2019-10-12 04:00:00,2019,10,12,2,4,0,29
536,2019-10-12 05:00:00,2019,10,12,2,5,0,25
538,2019-10-12 06:00:00,2019,10,12,2,6,1,30
540,2019-10-12 07:00:00,2019,10,12,2,7,1,28
542,2019-10-12 08:00:00,2019,10,12,2,8,1,33
