,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,YANGSAN
268,2019-10-06 15:00:00,2019,10,6,2,15,2,12
270,2019-10-06 16:00:00,2019,10,6,2,16,2,12
272,2019-10-06 17:00:00,2019,10,6,2,17,2,16
274,2019-10-06 18:00:00,2019,10,6,2,18,3,18
276,2019-10-06 19:00:00,2019,10,6,2,19,3,21
278,2019-10-06 20:00:00,2019,10,6,2,20,3,23
280,2019-10-06 21:00:00,2019,10,6,2,21,3,25
282,2019-10-06 22:00:00,2019,10,6,2,22,3,22
284,2019-10-06 23:00:00,2019,10,6,2,23,3,19
286,2019-10-07 00:00:00,2019,10,7,2,0,0,16
288,2019-10-07 01:00:00,2019,10,7,2,1,0,16
290,2019-10-07 02:00:00,2019,10,7,2,2,0,14
292,2019-10-07 03:00:00,2019,10,7,2,3,0,14
294,2019-10-07 04:00:00,2019,10,7,2,4,0,12
296,2019-10-07 05:00:00,2019,10,7,2,5,0,12
298,2019-10-07 06:00:00,2019,10,7,2,6,1,14
300,2019-10-07 07:00:00,2019,10,7,2,7,1,16
302,2019-10-07 08:00:00,2019,10,7,2,8,1,23
304,2019-10-07 09:00:00,2019,10,7,2,9,1,18
306,2019-10-07 10:00:00,2019,10,7,2,10,1,11
308,2019-10-07 11:00:00,2019,10,7,2,11,1,13
310,2019-10-07 12:00:00,2019,10,7,2,12,2,12
312,2019-10-07 13:00:00,2019,10,7,2,13,2,10
314,2019-10-07 14:00:00,2019,10,7,2,14,2,12
316,2019-10-07 15:00:00,2019,10,7,2,15,2,10
318,2019-10-07 16:00:00,2019,10,7,2,16,2,11
320,2019-10-07 17:00:00,2019,10,7,2,17,2,12
322,2019-10-07 18:00:00,2019,10,7,2,18,3,17
324,2019-10-07 19:00:00,2019,10,7,2,19,3,21
326,2019-10-07 20:00:00,2019,10,7,2,20,3,23
328,2019-10-07 21:00:00,2019,10,7,2,21,3,26
330,2019-10-07 22:00:00,2019,10,7,2,22,3,20
332,2019-10-07 23:00:00,2019,10,7,2,23,3,19
334,2019-10-08 00:00:00,2019,10,8,2,0,0,14
336,2019-10-08 01:00:00,2019,10,8,2,1,0,16
338,2019-10-08 02:00:00,2019,10,8,2,2,0,8
340,2019-10-08 03:00:00,2019,10,8,2,3,0,8
342,2019-10-08 04:00:00,2019,10,8,2,4,0,9
344,2019-10-08 05:00:00,2019,10,8,2,5,0,10
346,2019-10-08 06:00:00,2019,10,8,2,6,1,12
348,2019-10-08 07:00:00,2019,10,8,2,7,1,17
350,2019-10-08 08:00:00,2019,10,8,2,8,1,24
352,2019-10-08 09:00:00,2019,10,8,2,9,1,19
354,2019-10-08 10:00:00,2019,10,8,2,10,1,15
356,2019-10-08 11:00:00,2019,10,8,2,11,1,13
358,2019-10-08 12:00:00,2019,10,8,2,12,2,12
360,2019-10-08 13:00:00,2019,10,8,2,13,2,13
362,2019-10-08 14:00:00,2019,10,8,2,14,2,10
364,2019-10-08 15:00:00,2019,10,8,2,15,2,11
366,2019-10-08 16:00:00,2019,10,8,2,16,2,10
368,2019-10-08 17:00:00,2019,10,8,2,17,2,12
370,2019-10-08 18:00:00,2019,10,8,2,18,3,15
372,2019-10-08 19:00:00,2019,10,8,2,19,3,19
374,2019-10-08 20:00:00,2019,10,8,2,20,3,23
376,2019-10-08 21:00:00,2019,10,8,2,21,3,22
378,2019-10-08 22:00:00,2019,10,8,2,22,3,25
380,2019-10-08 23:00:00,2019,10,8,2,23,3,23
382,2019-10-09 00:00:00,2019,10,9,2,0,0,19
384,2019-10-09 01:00:00,2019,10,9,2,1,0,16
386,2019-10-09 02:00:00,2019,10,9,2,2,0,14
388,2019-10-09 03:00:00,2019,10,9,2,3,0,14
390,2019-10-09 04:00:00,2019,10,9,2,4,0,12
392,2019-10-09 05:00:00,2019,10,9,2,5,0,12
394,2019-10-09 06:00:00,2019,10,9,2,6,1,14
396,2019-10-09 07:00:00,2019,10,9,2,7,1,16
398,2019-10-09 08:00:00,2019,10,9,2,8,1,16
400,2019-10-09 09:00:00,2019,10,9,2,9,1,18
402,2019-10-09 10:00:00,2019,10,9,2,10,1,19
404,2019-10-09 11:00:00,2019,10,9,2,11,1,17
406,2019-10-09 12:00:00,2019,10,9,2,12,2,15
408,2019-10-09 13:00:00,2019,10,9,2,13,2,15
410,2019-10-09 14:00:00,2019,10,9,2,14,2,13
412,2019-10-09 15:00:00,2019,10,9,2,15,2,12
414,2019-10-09 16:00:00,2019,10,9,2,16,2,9
416,2019-10-09 17:00:00,2019,10,9,2,17,2,11
418,2019-10-09 18:00:00,2019,10,9,2,18,3,21
420,2019-10-09 19:00:00,2019,10,9,2,19,3,21
422,2019-10-09 20:00:00,2019,10,9,2,20,3,22
424,2019-10-09 21:00:00,2019,10,9,2,21,3,27
426,2019-10-09 22:00:00,2019,10,9,2,22,3,27
428,2019-10-09 23:00:00,2019,10,9,2,23,3,23
430,2019-10-10 00:00:00,2019,10,10,2,0,0,23
432,2019-10-10 01:00:00,2019,10,10,2,1,0,18
434,2019-10-10 02:00:00,2019,10,10,2,2,0,17
436,2019-10-10 03:00:00,2019,10,10,2,3,0,17
438,2019-10-10 04:00:00,2019,10,10,2,4,0,17
440,2019-10-10 05:00:00,2019,10,10,2,5,0,15
442,2019-10-10 06:00:00,2019,10,10,2,6,1,16
444,2019-10-10 07:00:00,2019,10,10,2,7,1,20
446,2019-10-10 08:00:00,2019,10,10,2,8,1,25
448,2019-10-10 09:00:00,2019,10,10,2,9,1,18
450,2019-10-10 10:00:00,2019,10,10,2,10,1,15
452,2019-10-10 11:00:00,2019,10,10,2,11,1,11
454,2019-10-10 12:00:00,2019,10,10,2,12,2,11
456,2019-10-10 13:00:00,2019,10,10,2,13,2,13
458,2019-10-10 14:00:00,2019,10,10,2,14,2,11
460,2019-10-10 15:00:00,2019,10,10,2,15,2,12
462,2019-10-10 16:00:00,2019,10,10,2,16,2,11
464,2019-10-10 17:00:00,2019,10,10,2,17,2,13
466,2019-10-10 18:00:00,2019,10,10,2,18,3,15
468,2019-10-10 19:00:00,2019,10,10,2,19,3,18
470,2019-10-10 20:00:00,2019,10,10,2,20,3,21
472,2019-10-10 21:00:00,2019,10,10,2,21,3,26
474,2019-10-10 22:00:00,2019,10,10,2,22,3,26
476,2019-10-10 23:00:00,2019,10,10,2,23,3,22
478,2019-10-11 00:00:00,2019,10,11,2,0,0,18
480,2019-10-11 01:00:00,2019,10,11,2,1,0,16
482,2019-10-11 02:00:00,2019,10,11,2,2,0,13
484,2019-10-11 03:00:00,2019,10,11,2,3,0,12
486,2019-10-11 04:00:00,2019,10,11,2,4,0,13
488,2019-10-11 05:00:00,2019,10,11,2,5,0,11
490,2019-10-11 06:00:00,2019,10,11,2,6,1,13
492,2019-10-11 07:00:00,2019,10,11,2,7,1,16
494,2019-10-11 08:00:00,2019,10,11,2,8,1,25
496,2019-10-11 09:00:00,2019,10,11,2,9,1,19
498,2019-10-11 10:00:00,2019,10,11,2,10,1,13
500,2019-10-11 11:00:00,2019,10,11,2,11,1,13
502,2019-10-11 12:00:00,2019,10,11,2,12,2,11
504,2019-10-11 13:00:00,2019,10,11,2,13,2,13
506,2019-10-11 14:00:00,2019,10,11,2,14,2,11
508,2019-10-11 15:00:00,2019,10,11,2,15,2,11
510,2019-10-11 16:00:00,2019,10,11,2,16,2,5
512,2019-10-11 17:00:00,2019,10,11,2,17,2,10
514,2019-10-11 18:00:00,2019,10,11,2,18,3,13
516,2019-10-11 19:00:00,2019,10,11,2,19,3,17
518,2019-10-11 20:00:00,2019,10,11,2,20,3,19
520,2019-10-11 21:00:00,2019,10,11,2,21,3,20
522,2019-10-11 22:00:00,2019,10,11,2,22,3,25
524,2019-10-11 23:00:00,2019,10,11,2,23,3,23
526,2019-10-12 00:00:00,2019,10,12,2,0,0,22
528,2019-10-12 01:00:00,2019,10,12,2,1,0,20
530,2019-10-12 02:00:00,2019,10,12,2,2,0,17
532,2019-10-12 03:00:00,2019,10,12,2,3,0,14
534,2019-10-12 04:00:00,2019,10,12,2,4,0,14
536,2019-10-12 05:00:00,2019,10,12,2,5,0,14
538,2019-10-12 06:00:00,2019,10,12,2,6,1,15
540,2019-10-12 07:00:00,2019,10,12,2,7,1,15
542,2019-10-12 08:00:00,2019,10,12,2,8,1,19
544,2019-10-12 09:00:00,2019,10,12,2,9,1,20
546,2019-10-12 10:00:00,2019,10,12,2,10,1,22
548,2019-10-12 11:00:00,2019,10,12,2,11,1,19
550,2019-10-12 12:00:00,2019,10,12,2,12,2,15
552,2019-10-12 13:00:00,2019,10,12,2,13,2,14
554,2019-10-12 14:00:00,2019,10,12,2,14,2,14
556,2019-10-12 15:00:00,2019,10,12,2,15,2,12
558,2019-10-12 16:00:00,2019,10,12,2,16,2,11
560,2019-10-12 17:00:00,2019,10,12,2,17,2,13
562,2019-10-12 18:00:00,2019,10,12,2,18,3,16
564,2019-10-12 19:00:00,2019,10,12,2,19,3,17
566,2019-10-12 20:00:00,2019,10,12,2,20,3,17
568,2019-10-12 21:00:00,2019,10,12,2,21,3,19
570,2019-10-12 22:00:00,2019,10,12,2,22,3,21
572,2019-10-12 23:00:00,2019,10,12,2,23,3,18
574,2019-10-13 00:00:00,2019,10,13,2,0,0,18
576,2019-10-13 01:00:00,2019,10,13,2,1,0,16
578,2019-10-13 02:00:00,2019,10,13,2,2,0,13
580,2019-10-13 03:00:00,2019,10,13,2,3,0,11
582,2019-10-13 04:00:00,2019,10,13,2,4,0,13
584,2019-10-13 05:00:00,2019,10,13,2,5,0,12
586,2019-10-13 06:00:00,2019,10,13,2,6,1,13
588,2019-10-13 07:00:00,2019,10,13,2,7,1,13
590,2019-10-13 08:00:00,2019,10,13,2,8,1,15
592,2019-10-13 09:00:00,2019,10,13,2,9,1,17
594,2019-10-13 10:00:00,2019,10,13,2,10,1,19
596,2019-10-13 11:00:00,2019,10,13,2,11,1,18
598,2019-10-13 12:00:00,2019,10,13,2,12,2,17
600,2019-10-13 13:00:00,2019,10,13,2,13,2,14
602,2019-10-13 14:00:00,2019,10,13,2,14,2,14
604,2019-10-13 15:00:00,2019,10,13,2,15,2,14
