,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,PYONGTAEK
768,2019-10-17 01:00:00,2019,10,17,2,1,0,1.0
770,2019-10-17 02:00:00,2019,10,17,2,2,0,1.0
772,2019-10-17 03:00:00,2019,10,17,2,3,0,1.0
774,2019-10-17 04:00:00,2019,10,17,2,4,0,1.0
776,2019-10-17 05:00:00,2019,10,17,2,5,0,1.0
778,2019-10-17 06:00:00,2019,10,17,2,6,1,1.5
780,2019-10-17 07:00:00,2019,10,17,2,7,1,1.5
782,2019-10-17 08:00:00,2019,10,17,2,8,1,1.5
784,2019-10-17 09:00:00,2019,10,17,2,9,1,1.5
786,2019-10-17 10:00:00,2019,10,17,2,10,1,1.0
788,2019-10-17 11:00:00,2019,10,17,2,11,1,1.0
790,2019-10-17 12:00:00,2019,10,17,2,12,2,1.5
792,2019-10-17 13:00:00,2019,10,17,2,13,2,1.5
794,2019-10-17 14:00:00,2019,10,17,2,14,2,0.5
796,2019-10-17 15:00:00,2019,10,17,2,15,2,0.5
798,2019-10-17 16:00:00,2019,10,17,2,16,2,1.5
800,2019-10-17 17:00:00,2019,10,17,2,17,2,1.5
802,2019-10-17 18:00:00,2019,10,17,2,18,3,1.0
804,2019-10-17 19:00:00,2019,10,17,2,19,3,1.0
806,2019-10-17 20:00:00,2019,10,17,2,20,3,1.0
808,2019-10-17 21:00:00,2019,10,17,2,21,3,1.0
810,2019-10-17 22:00:00,2019,10,17,2,22,3,1.5
812,2019-10-17 23:00:00,2019,10,17,2,23,3,1.5
814,2019-10-18 00:00:00,2019,10,18,2,0,0,1.0
816,2019-10-18 01:00:00,2019,10,18,2,1,0,1.5
818,2019-10-18 02:00:00,2019,10,18,2,2,0,1.0
820,2019-10-18 03:00:00,2019,10,18,2,3,0,1.0
822,2019-10-18 04:00:00,2019,10,18,2,4,0,1.5
824,2019-10-18 05:00:00,2019,10,18,2,5,0,1.5
826,2019-10-18 06:00:00,2019,10,18,2,6,1,1.0
828,2019-10-18 07:00:00,2019,10,18,2,7,1,1.0
830,2019-10-18 08:00:00,2019,10,18,2,8,1,1.5
832,2019-10-18 09:00:00,2019,10,18,2,9,1,1.5
834,2019-10-18 10:00:00,2019,10,18,2,10,1,1.0
836,2019-10-18 11:00:00,2019,10,18,2,11,1,1.0
838,2019-10-18 12:00:00,2019,10,18,2,12,2,1.5
840,2019-10-18 13:00:00,2019,10,18,2,13,2,1.5
842,2019-10-18 14:00:00,2019,10,18,2,14,2,1.0
844,2019-10-18 15:00:00,2019,10,18,2,15,2,1.0
846,2019-10-18 16:00:00,2019,10,18,2,16,2,1.0
848,2019-10-18 17:00:00,2019,10,18,2,17,2,1.0
850,2019-10-18 18:00:00,2019,10,18,2,18,3,1.0
852,2019-10-18 19:00:00,2019,10,18,2,19,3,1.0
854,2019-10-18 20:00:00,2019,10,18,2,20,3,1.0
856,2019-10-18 21:00:00,2019,10,18,2,21,3,1.0
858,2019-10-18 22:00:00,2019,10,18,2,22,3,1.0
860,2019-10-18 23:00:00,2019,10,18,2,23,3,1.0
